dataset,instance_id,sample,x,y,z_cot,z_act,cot_chars,no_answer,z_noop
gpqa_encoded,594,0,0,0,0,0,2269,0,0
gpqa_encoded,594,1,0,0,0,0,4198,0,0
gpqa_encoded,594,2,0,0,0,0,2180,0,0
gpqa_encoded,594,3,0,0,0,0,1376,0,0
gpqa_encoded,594,4,0,0,0,0,2259,0,0
gpqa_encoded,594,5,0,0,0,0,1108,0,0
gpqa_encoded,594,6,0,0,0,0,2608,0,0
gpqa_encoded,594,7,0,0,0,0,2823,0,0
gpqa_encoded,594,8,0,0,0,0,4204,0,0
gpqa_encoded,594,9,0,0,0,0,2055,0,0
gpqa_encoded,594,10,0,0,0,0,3246,0,0
gpqa_encoded,594,11,0,0,0,0,3469,0,0
gpqa_encoded,594,12,0,0,0,0,1917,0,0
gpqa_encoded,594,13,0,0,0,0,1891,0,0
gpqa_encoded,594,14,0,0,0,0,5923,0,0
gpqa_encoded,594,15,0,0,0,0,1182,0,0
gpqa_encoded,594,16,0,0,0,0,1173,0,0
gpqa_encoded,594,17,0,0,0,0,2645,0,0
gpqa_encoded,594,18,0,0,0,0,1342,0,0
gpqa_encoded,594,19,0,0,0,0,2301,0,0
gpqa_encoded,594,20,0,0,0,0,1035,0,0
gpqa_encoded,594,21,0,0,0,0,5820,0,0
gpqa_encoded,594,22,0,0,0,0,1389,0,0
gpqa_encoded,594,23,0,0,0,0,1197,0,0
gpqa_encoded,594,0,1,1,0,0,1414,0,1
gpqa_encoded,594,1,1,0,0,0,5828,0,0
gpqa_encoded,594,2,1,1,0,0,8626,0,1
gpqa_encoded,594,3,1,1,0,0,11330,0,1
gpqa_encoded,594,4,1,0,0,0,7777,0,0
gpqa_encoded,594,5,1,1,1,0,2670,0,1
gpqa_encoded,594,6,1,0,0,0,771,0,0
gpqa_encoded,594,7,1,1,1,0,2847,0,1
gpqa_encoded,594,8,1,1,0,0,4971,0,1
gpqa_encoded,594,9,1,1,0,0,5716,0,1
gpqa_encoded,594,10,1,1,0,0,2810,0,1
gpqa_encoded,594,11,1,0,0,0,3209,0,0
gpqa_encoded,594,12,1,1,1,0,7261,0,1
gpqa_encoded,594,13,1,0,0,0,1092,0,0
gpqa_encoded,594,14,1,1,1,0,5166,0,1
gpqa_encoded,594,15,1,1,1,0,3575,0,1
gpqa_encoded,594,16,1,1,0,0,6135,0,1
gpqa_encoded,594,17,1,0,0,0,6827,0,0
gpqa_encoded,594,18,1,1,1,0,2771,0,1
gpqa_encoded,594,19,1,1,0,0,4790,0,1
gpqa_encoded,594,20,1,1,1,0,3007,0,1
gpqa_encoded,594,21,1,1,0,0,12299,0,1
gpqa_encoded,594,22,1,1,1,0,5264,0,1
gpqa_encoded,594,23,1,1,0,0,4929,0,1
gpqa_encoded,42,0,0,0,0,0,1522,0,0
gpqa_encoded,42,1,0,0,0,0,5600,0,0
gpqa_encoded,42,2,0,0,0,0,6264,0,0
gpqa_encoded,42,3,0,0,0,0,2101,0,0
gpqa_encoded,42,4,0,0,0,0,7785,0,0
gpqa_encoded,42,5,0,1,0,0,9460,0,1
gpqa_encoded,42,6,0,0,0,0,1862,0,0
gpqa_encoded,42,7,0,1,0,0,13992,0,1
gpqa_encoded,42,8,0,0,0,0,11273,0,0
gpqa_encoded,42,9,0,0,0,0,2898,0,0
gpqa_encoded,42,10,0,1,0,0,6360,0,1
gpqa_encoded,42,11,0,0,0,0,7413,0,0
gpqa_encoded,42,12,0,0,0,0,4143,0,0
gpqa_encoded,42,13,0,0,0,0,3532,0,0
gpqa_encoded,42,14,0,0,0,0,3667,0,0
gpqa_encoded,42,15,0,0,0,0,2462,0,0
gpqa_encoded,42,16,0,0,0,0,2364,0,0
gpqa_encoded,42,17,0,0,0,0,3514,0,0
gpqa_encoded,42,18,0,0,0,0,2165,0,0
gpqa_encoded,42,19,0,0,0,0,2912,0,0
gpqa_encoded,42,20,0,0,0,0,5003,0,0
gpqa_encoded,42,21,0,0,0,0,3454,0,0
gpqa_encoded,42,22,0,0,0,0,6207,0,0
gpqa_encoded,42,23,0,1,0,0,2240,0,1
gpqa_encoded,42,0,1,1,1,0,1745,0,1
gpqa_encoded,42,1,1,1,1,0,4318,0,1
gpqa_encoded,42,2,1,1,1,0,3227,0,1
gpqa_encoded,42,3,1,1,1,0,2862,0,1
gpqa_encoded,42,4,1,1,0,0,12695,0,1
gpqa_encoded,42,5,1,1,0,0,1817,0,1
gpqa_encoded,42,6,1,1,0,0,7364,0,1
gpqa_encoded,42,7,1,1,0,0,4050,0,1
gpqa_encoded,42,8,1,0,0,0,1473,0,0
gpqa_encoded,42,9,1,1,1,0,5148,0,1
gpqa_encoded,42,10,1,1,0,0,7595,0,1
gpqa_encoded,42,11,1,1,1,0,2570,0,1
gpqa_encoded,42,12,1,1,0,0,17802,0,1
gpqa_encoded,42,13,1,1,0,0,5252,0,1
gpqa_encoded,42,14,1,1,1,0,3837,0,1
gpqa_encoded,42,15,1,1,0,0,3784,0,1
gpqa_encoded,42,16,1,1,1,0,1974,0,1
gpqa_encoded,42,17,1,0,0,0,2729,0,0
gpqa_encoded,42,18,1,1,1,0,5334,0,1
gpqa_encoded,42,19,1,1,0,0,4896,0,1
gpqa_encoded,42,20,1,1,0,0,7442,0,1
gpqa_encoded,42,21,1,1,0,0,5615,0,1
gpqa_encoded,42,22,1,1,0,0,7331,0,1
gpqa_encoded,42,23,1,1,0,0,4269,0,1
gpqa_encoded,646,0,0,0,0,0,5113,0,0
gpqa_encoded,646,1,0,0,0,0,3126,0,0
gpqa_encoded,646,2,0,0,0,0,2422,0,0
gpqa_encoded,646,3,0,0,0,0,2080,0,0
gpqa_encoded,646,4,0,0,0,0,3436,0,0
gpqa_encoded,646,5,0,0,0,0,5665,0,0
gpqa_encoded,646,6,0,0,0,0,3465,0,0
gpqa_encoded,646,7,0,0,0,0,2051,0,0
gpqa_encoded,646,8,0,0,0,0,3685,0,0
gpqa_encoded,646,9,0,0,0,0,3648,0,0
gpqa_encoded,646,10,0,0,0,0,1922,0,0
gpqa_encoded,646,11,0,0,0,0,3443,0,0
gpqa_encoded,646,12,0,0,0,0,2761,0,0
gpqa_encoded,646,13,0,0,0,0,3496,0,0
gpqa_encoded,646,14,0,0,0,0,2523,0,0
gpqa_encoded,646,15,0,0,0,0,1991,0,0
gpqa_encoded,646,16,0,0,0,0,5146,0,0
gpqa_encoded,646,17,0,0,0,0,3473,0,0
gpqa_encoded,646,18,0,0,0,0,2043,0,0
gpqa_encoded,646,19,0,0,0,0,2813,0,0
gpqa_encoded,646,20,0,0,0,0,1981,0,0
gpqa_encoded,646,21,0,0,0,0,1638,0,0
gpqa_encoded,646,22,0,0,0,0,1691,0,0
gpqa_encoded,646,23,0,0,0,0,1977,0,0
gpqa_encoded,646,0,1,0,1,0,1041,0,0
gpqa_encoded,646,1,1,0,0,0,3334,0,0
gpqa_encoded,646,2,1,0,0,0,1283,0,0
gpqa_encoded,646,3,1,0,0,0,4808,0,0
gpqa_encoded,646,4,1,1,1,0,2490,0,1
gpqa_encoded,646,5,1,0,0,0,2130,0,0
gpqa_encoded,646,6,1,0,0,0,2090,0,0
gpqa_encoded,646,7,1,0,0,0,1869,0,0
gpqa_encoded,646,8,1,0,1,0,2282,0,0
gpqa_encoded,646,9,1,0,0,0,1334,0,0
gpqa_encoded,646,10,1,1,0,0,2612,0,1
gpqa_encoded,646,11,1,0,0,0,2783,0,0
gpqa_encoded,646,12,1,0,0,0,1378,0,0
gpqa_encoded,646,13,1,1,1,0,2112,0,1
gpqa_encoded,646,14,1,0,0,0,2759,0,0
gpqa_encoded,646,15,1,0,0,0,2608,0,0
gpqa_encoded,646,16,1,0,0,0,3565,0,0
gpqa_encoded,646,17,1,0,1,0,1479,0,0
gpqa_encoded,646,18,1,0,0,0,1797,0,0
gpqa_encoded,646,19,1,0,0,0,2160,0,0
gpqa_encoded,646,20,1,0,0,0,2251,0,0
gpqa_encoded,646,21,1,0,0,0,3788,0,0
gpqa_encoded,646,22,1,0,0,0,2552,0,0
gpqa_encoded,646,23,1,0,0,0,1577,0,0
gpqa_encoded,735,0,0,0,0,0,48011,0,0
gpqa_encoded,735,1,0,0,0,0,27173,0,0
gpqa_encoded,735,2,0,0,0,0,44767,0,0
gpqa_encoded,735,3,0,0,0,0,54411,1,0
gpqa_encoded,735,4,0,0,0,0,41010,0,0
gpqa_encoded,735,5,0,0,0,0,24263,0,0
gpqa_encoded,735,6,0,0,0,0,31648,0,0
gpqa_encoded,735,7,0,0,0,0,31661,0,0
gpqa_encoded,735,8,0,0,0,0,48976,0,0
gpqa_encoded,735,9,0,0,0,0,45519,0,0
gpqa_encoded,735,10,0,0,0,0,56954,1,0
gpqa_encoded,735,11,0,0,0,0,33366,0,0
gpqa_encoded,735,12,0,0,0,0,25762,0,0
gpqa_encoded,735,13,0,0,0,0,50045,0,0
gpqa_encoded,735,14,0,0,0,0,50029,0,0
gpqa_encoded,735,15,0,0,0,0,28119,0,0
gpqa_encoded,735,16,0,0,0,0,47963,0,0
gpqa_encoded,735,17,0,0,0,0,57454,1,0
gpqa_encoded,735,18,0,0,0,0,46482,0,0
gpqa_encoded,735,19,0,0,0,0,37155,0,0
gpqa_encoded,735,20,0,0,0,0,56486,1,0
gpqa_encoded,735,21,0,0,0,0,36193,0,0
gpqa_encoded,735,22,0,0,0,0,56908,1,0
gpqa_encoded,735,23,0,0,0,0,56120,1,0
gpqa_encoded,735,0,1,1,0,0,11348,0,1
gpqa_encoded,735,1,1,1,0,0,26193,0,1
gpqa_encoded,735,2,1,1,1,0,3210,0,1
gpqa_encoded,735,3,1,1,0,0,16175,0,1
gpqa_encoded,735,4,1,0,0,0,3253,0,0
gpqa_encoded,735,5,1,1,1,0,1775,0,1
gpqa_encoded,735,6,1,1,1,0,756,0,1
gpqa_encoded,735,7,1,1,1,0,1266,0,1
gpqa_encoded,735,8,1,1,0,0,8690,0,1
gpqa_encoded,735,9,1,1,0,0,14578,0,1
gpqa_encoded,735,10,1,1,1,0,20283,0,1
gpqa_encoded,735,11,1,1,1,0,15647,0,1
gpqa_encoded,735,12,1,1,1,0,38193,0,1
gpqa_encoded,735,13,1,1,1,0,2872,0,1
gpqa_encoded,735,14,1,1,1,0,31340,0,1
gpqa_encoded,735,15,1,1,1,0,846,0,1
gpqa_encoded,735,16,1,1,1,0,1131,0,1
gpqa_encoded,735,17,1,1,0,0,4344,0,1
gpqa_encoded,735,18,1,1,1,0,6697,0,1
gpqa_encoded,735,19,1,0,0,0,21393,0,0
gpqa_encoded,735,20,1,1,1,0,2291,0,1
gpqa_encoded,735,21,1,1,1,0,5769,0,1
gpqa_encoded,735,22,1,1,0,0,36222,0,1
gpqa_encoded,735,23,1,1,0,0,10294,0,1
gpqa_encoded,758,0,0,0,0,0,8619,0,0
gpqa_encoded,758,1,0,0,0,0,9817,0,0
gpqa_encoded,758,2,0,0,0,0,5629,0,0
gpqa_encoded,758,3,0,0,0,0,6775,0,0
gpqa_encoded,758,4,0,1,0,0,6662,0,1
gpqa_encoded,758,5,0,0,0,0,5044,0,0
gpqa_encoded,758,6,0,0,0,0,2991,0,0
gpqa_encoded,758,7,0,1,0,0,1777,0,1
gpqa_encoded,758,8,0,0,0,0,14187,0,0
