dataset,instance_id,sample,x,y,z_cot,z_act,cot_chars,no_answer,z_noop
gpqa,391,0,0,0,0,0,3013,0,0
gpqa,391,1,0,0,0,0,2522,0,0
gpqa,391,2,0,0,0,0,1582,0,0
gpqa,391,3,0,0,0,0,1002,0,0
gpqa,391,0,1,0,0,0,1702,0,0
gpqa,391,1,1,0,0,0,1858,0,0
gpqa,391,2,1,0,0,0,1823,0,0
gpqa,391,3,1,0,0,0,3658,0,0
gpqa,499,0,0,1,0,0,7184,0,1
gpqa,499,1,0,0,0,0,5964,0,0
gpqa,499,2,0,0,0,0,6642,0,0
gpqa,499,3,0,0,0,0,6426,0,0
gpqa,499,0,1,1,0,0,4169,0,1
gpqa,499,1,1,1,0,0,4692,0,1
gpqa,499,2,1,0,0,0,1920,0,0
gpqa,499,3,1,0,0,0,1117,0,0
gpqa,162,0,0,1,0,0,11233,0,1
gpqa,162,1,0,1,0,0,10564,0,1
gpqa,162,2,0,1,0,0,2890,0,1
gpqa,162,3,0,1,0,0,15554,0,1
gpqa,162,0,1,1,0,0,6300,0,1
gpqa,162,1,1,1,0,0,5382,0,1
gpqa,162,2,1,1,0,0,4545,0,1
gpqa,162,3,1,1,0,0,13429,0,1
gpqa,256,0,0,0,0,0,4918,0,0
gpqa,256,1,0,0,0,0,6238,0,0
gpqa,256,2,0,0,0,0,1786,0,0
gpqa,256,3,0,0,0,0,8180,0,0
gpqa,256,0,1,0,0,0,1026,0,0
gpqa,256,1,1,0,0,0,1067,0,0
gpqa,256,2,1,0,0,0,2726,0,0
gpqa,256,3,1,0,0,0,3825,0,0
gpqa,695,0,0,0,0,0,5590,0,0
gpqa,695,1,0,0,0,0,10937,0,0
gpqa,695,2,0,0,0,0,13978,0,0
gpqa,695,3,0,0,0,0,9191,0,0
gpqa,695,0,1,0,0,0,14393,0,0
gpqa,695,1,1,0,0,0,11965,0,0
gpqa,695,2,1,0,0,0,10246,0,0
gpqa,695,3,1,1,0,0,18940,0,1
gpqa,69,0,0,0,0,0,56491,1,0
gpqa,69,1,0,0,0,0,50456,1,0
gpqa,69,2,0,0,0,0,34797,0,0
gpqa,69,3,0,0,0,0,52145,0,0
gpqa,69,0,1,0,0,0,39044,0,0
gpqa,69,1,1,0,0,0,54864,1,0
gpqa,69,2,1,0,0,0,52951,1,0
gpqa,69,3,1,0,0,0,29551,0,0
gpqa,318,0,0,0,0,0,24762,0,0
gpqa,318,1,0,0,0,0,28564,0,0
gpqa,318,2,0,0,0,0,58092,1,0
gpqa,318,3,0,0,0,0,37918,0,0
gpqa,318,0,1,1,0,0,10953,0,1
gpqa,318,1,1,0,0,0,18045,0,0
gpqa,318,2,1,0,0,0,27736,0,0
gpqa,318,3,1,1,0,0,31785,0,1
gpqa,409,0,0,0,0,0,3469,0,0
gpqa,409,1,0,0,0,0,7456,0,0
gpqa,409,2,0,0,0,0,4177,0,0
gpqa,409,3,0,0,0,0,6239,0,0
gpqa,409,0,1,0,0,0,3660,0,0
gpqa,409,1,1,0,1,0,2426,0,0
gpqa,409,2,1,1,1,0,2019,0,1
gpqa,409,3,1,1,0,0,1365,0,1
gpqa,455,0,0,0,0,0,3743,0,0
gpqa,455,1,0,0,0,0,5122,0,0
gpqa,455,2,0,0,0,0,2034,0,0
gpqa,455,3,0,0,0,0,3324,0,0
gpqa,455,0,1,1,0,0,4817,0,1
gpqa,455,1,1,0,0,0,3184,0,0
gpqa,455,2,1,0,0,0,5350,0,0
gpqa,455,3,1,0,0,0,4358,0,0
gpqa,398,0,0,0,0,0,1418,0,0
gpqa,398,1,0,0,0,0,1368,0,0
gpqa,398,2,0,0,0,0,2356,0,0
gpqa,398,3,0,0,0,0,744,0,0
gpqa,398,0,1,0,0,0,1280,0,0
gpqa,398,1,1,0,0,0,3179,0,0
gpqa,398,2,1,0,0,0,4812,0,0
gpqa,398,3,1,0,0,0,2066,0,0
gpqa,210,0,0,0,0,0,51330,0,0
gpqa,210,1,0,0,0,0,33503,0,0
gpqa,210,2,0,0,0,0,25213,0,0
gpqa,210,3,0,0,0,0,41840,0,0
gpqa,210,0,1,1,1,0,315,0,1
gpqa,210,1,1,1,0,0,5029,0,1
gpqa,210,2,1,1,0,0,24102,0,1
gpqa,210,3,1,0,0,0,23495,0,0
gpqa,569,0,0,1,0,0,13776,0,1
gpqa,569,1,0,1,0,0,23612,0,1
gpqa,569,2,0,1,0,0,4926,0,1
gpqa,569,3,0,1,0,0,16136,0,1
gpqa,569,0,1,1,0,0,11360,0,1
gpqa,569,1,1,1,0,0,5770,0,1
gpqa,569,2,1,1,0,0,5283,0,1
gpqa,569,3,1,1,0,0,12495,0,1
gpqa,132,0,0,1,0,0,6668,0,0
gpqa,132,1,0,1,0,0,5371,0,0
gpqa,132,2,0,0,0,0,6619,0,1
gpqa,132,3,0,1,0,0,4721,0,1
gpqa,132,0,1,0,0,0,4328,0,0
gpqa,132,1,1,0,0,0,2949,0,1
gpqa,132,2,1,0,0,0,7733,0,1
gpqa,132,3,1,0,0,0,3409,0,1
gpqa,275,0,0,0,0,0,2468,0,0
gpqa,275,1,0,0,0,0,2323,0,0
